booking_id,customer_id,booking_date,destination,number_of_passengers,cost_per_passenger
1,1,10-01-2023,Paris,2,500
2,8,18-01-2023,Sydney,3,1100
3,9,02-02-2023,Bangkok,2,600
4,4,12-02-2023,New York,3,900
5,13,22-02-2023,Vienna,3,550
6,6,05-03-2023,Barcelona,2,650
7,5,14-03-2023,Tokyo,2,1200
8,2,23-03-2023,Rome,1,800
9,11,31-03-2023,Prague,1,400
10,15,01-04-2023,Seoul,4,1000
11,7,06-04-2023,Amsterdam,1,400
11,8,06-04-2023,Paris,1,400
12,3,10-04-2023,London,4,350
13,10,15-04-2023,Miami,3,700
14,12,20-04-2023,San Francisco,2,900
15,1,25-04-2023,Cairo,2,550
16,14,24-05-2023,Mexico City,3,800
17,5,01-06-2023,Beijing,2,1200
18,11,09-06-2023,Moscow,1,600
19,3,09-06-2023,,2,500
20,,09-06-2023,Moscow,1,600
,,09-06-2023,Moscow,1,600
