booking_id,customer_id,booking_date,destination,number_of_passengers,cost_per_passenger,total_booking_value
1.0,1.0,10-01-2023,Paris,2,500,1000
2.0,8.0,18-01-2023,Sydney,3,1100,3300
3.0,9.0,02-02-2023,Bangkok,2,600,1200
4.0,4.0,12-02-2023,New York,3,900,2700
5.0,13.0,22-02-2023,Vienna,3,550,1650
6.0,6.0,05-03-2023,Barcelona,2,650,1300
7.0,5.0,14-03-2023,Tokyo,2,1200,2400
8.0,2.0,23-03-2023,Rome,1,800,800
9.0,11.0,31-03-2023,Prague,1,400,400
10.0,15.0,01-04-2023,Seoul,4,1000,4000
11.0,7.0,06-04-2023,Amsterdam,1,400,400
12.0,3.0,10-04-2023,London,4,350,1400
13.0,10.0,15-04-2023,Miami,3,700,2100
14.0,12.0,20-04-2023,San Francisco,2,900,1800
15.0,1.0,25-04-2023,Cairo,2,550,1100
16.0,14.0,24-05-2023,Mexico City,3,800,2400
17.0,5.0,01-06-2023,Beijing,2,1200,2400
18.0,11.0,09-06-2023,Moscow,1,600,600
19.0,3.0,09-06-2023,NA,2,500,1000
